,wind speed in knots (TWS),  speed in knots
angle (TWA),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
56,0.0,0.9,1.8,2.7,3.5,4.4,4.8,5.2,5.3,5.5,5.6,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
57,0.0,0.9,1.8,2.7,3.6,4.5,4.8,5.2,5.4,5.6,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
58,0.0,0.9,1.8,2.7,3.6,4.5,4.8,5.2,5.4,5.6,5.7,5.8,5.8,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
59,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.2,5.4,5.6,5.7,5.8,5.9,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9
60,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.2,5.4,5.6,5.7,5.8,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
61,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.4,5.6,5.7,5.8,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
62,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.4,5.6,5.7,5.8,5.9,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
63,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.4,5.6,5.7,5.8,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
64,0.0,0.9,1.8,2.7,3.6,4.5,4.9,5.3,5.5,5.6,5.7,5.8,5.9,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
65,0.0,0.9,1.8,2.7,3.6,4.6,4.9,5.3,5.5,5.6,5.7,5.9,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
66,0.0,0.9,1.8,2.7,3.6,4.6,4.9,5.3,5.5,5.7,5.8,5.9,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
67,0.0,0.9,1.8,2.7,3.7,4.6,4.9,5.3,5.5,5.7,5.8,5.9,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
68,0.0,0.9,1.8,2.7,3.7,4.6,4.9,5.3,5.5,5.7,5.8,5.9,5.9,6.0,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1,6.1
69,0.0,0.9,1.8,2.7,3.7,4.6,4.9,5.3,5.5,5.7,5.8,5.9,6.0,6.0,6.1,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
70,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
71,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
72,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2,6.2
73,0.0,0.9,1.8,2.8,3.7,4.6,5.0,5.3,5.5,5.7,5.8,5.9,6.0,6.1,6.1,6.2,6.2,6.2,6.2,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
